2.00E-05	0.9170334  0.5969742   0.2121784  0.1400007  0.01362002  0.01106745  0.002856374
6.00E-05	0.06030126  0.1634685   0.2024219  0.1478287  0.04146371  0.02635169  0.01664054
0.0001	0.01386439  0.07673926   0.1286895  0.1048355  0.05695431  0.03981988  0.02535676
0.00014	0.005080302  0.04377283   0.0868335  0.08148218  0.05800085  0.0380048  0.02799775
0.00018	0.001843098  0.02783828   0.06156463  0.06361901  0.05663235  0.03483901  0.03164598
0.00022	0.0007538525  0.01948688   0.04455685  0.05076839  0.04968527  0.03283293  0.02953657
0.00026	0.0003519162  0.01398246   0.03363245  0.04117926  0.04610029  0.0321816  0.02842186
0.0003	0.0002507042  0.009680361   0.02649755  0.03452965  0.04200355  0.02967028  0.0283052
0.00034	0.0001498225  0.007274937   0.02124743  0.0292652  0.03701826  0.02724676  0.02475248
0.00038	8.146058e-05  0.005558099   0.01700854  0.02622023  0.03308131  0.0259819  0.02407574
0.00042	4.628802e-05  0.004793271   0.01416006  0.02081002  0.02930593  0.02345781  0.02392337
0.00046	3.000605e-05  0.003988521   0.01259202  0.01901654  0.02689622  0.02313407  0.02207867
0.0005	2.658276e-05  0.003434311   0.01136447  0.01603455  0.02391909  0.0208646  0.02004692
0.00054	2.059049e-05  0.003003615   0.009765933  0.01367623  0.02195663  0.01840234  0.01977388
0.00058	2.140672e-05  0.002449051   0.008218202  0.01222082  0.02014495  0.01808519  0.01794215
0.00062	1.515807e-05  0.002069353   0.007200927  0.01149127  0.01793268  0.01683354  0.01809166
0.00066	1.715081e-05  0.001972262   0.006855874  0.009916058  0.01694064  0.01515504  0.01650975
0.0007	8.759797e-06  0.00147523   0.006066292  0.009899306  0.01643498  0.01530901  0.01541412
0.00074	1.703238e-05  0.001208923   0.005074156  0.00864315  0.0134376  0.01398597  0.01609987
0.00078	7.821543e-06  0.001076119   0.004864814  0.007543577  0.01358369  0.01384277  0.01347698
