t	Imed
0.001	11579.92630
13.205	11592.40344
26.41	11616.56075
39.613	11567.00884
52.818	11539.03143
66.022	11446.63477
79.226	11364.51675
92.429	11277.47557
105.633	11182.25983
118.838	11104.72608
132.041	10909.21859
145.245	10804.81833
158.45	10743.68191
171.653	10671.70966
184.857	10599.7051
198.062	10517.03928
211.265	10411.38912
224.47	10341.55259
237.674	10309.32896
250.877	10226.50477
264.081	10072.08535
277.286	10048.72254
290.489	9987.337219
303.694	9917.82727
316.897	9868.184279
330.102	9792.90979
343.305	9759.307442
356.51	9682.407355
369.714	9626.410841
382.917	9594.1173
396.121	9479.780725
409.326	9429.653459
422.53	9389.62875
435.733	9325.080802
448.938	9282.990527
462.142	9244.895387
475.346	9204.839435
488.549	9152.466955
501.753	9100.256491
514.958	9051.827481
528.161	8973.617299
541.366	8939.769194
554.569	8896.21913
567.774	8862.947862
580.977	8830.20023
594.182	8775.854963
607.385	8734.73704
620.59	8710.785041
633.794	8668.431376
646.998	8637.022936
660.201	8565.222471
673.405	8535.871053
686.61	8492.659878
699.813	8463.824771
713.018	8442.674256
726.221	8398.30106
739.426	8367.219648
752.629	8339.221657
765.834	8312.944263
779.037	8279.085903
792.242	8227.937953
805.446	8194.316452
818.65	8148.567
831.853	8152.613323
845.057	8098.665397
858.262	8046.144243
871.466	8061.379785
884.67	8037.963398
897.873	8004.69723
911.077	7989.325109
924.282	7940.47741
937.486	7923.261554
950.689	7898.914547
963.893	7865.385016
977.098	7841.274533
990.301	7825.935336
1003.505	7797.421747
1016.71	7779.823681
1029.913	7767.779056
1043.118	7736.600999
1056.321	7704.925088
1069.526	7675.25647
1082.73	7666.250205
1095.934	7635.376536
1109.137	7624.170784
1122.341	7598.840965
1135.545	7575.697064
1148.75	7556.963055
1161.953	7537.238794
1175.157	7516.090119
1188.361	7486.727462
1201.566	7465.883387
1214.769	7436.620673
1227.974	7435.911854
1241.177	7421.441376
1254.382	7393.364061
1267.586	7387.927776
1280.789	7362.485658
1293.994	7349.861017
1307.197	7333.698036
1320.402	7296.102824
1333.606	7294.175757
1346.809	7274.368832
1360.013	7263.844126
1373.218	7246.350141
1386.421	7237.17441
1399.625	7211.207911
1412.829	7215.775069
1426.033	7200.465082
1439.238	7175.17264
1452.441	7146.710259
1465.645	7138.21058
1478.85	7116.128219
1492.054	7110.814357
1505.258	7107.366989
1518.461	7087.130236
1531.666	7079.709704
1544.87	7071.107763
1558.074	7008.749337
1571.277	7072.67619
1584.482	7031.347804
1597.685	7000.535759
1610.89	6996.323454
1624.093	6966.555983
1637.298	6966.292642
1650.501	6978.812647
1663.705	6953.449123
1676.91	6936.962462
1690.113	6932.664852
1703.318	6919.036504
1716.522	6899.396234
1729.726	6894.05516
1742.929	6878.882582
1756.133	6869.384067
1769.337	6855.733595
1782.542	6852.793212
1795.746	6836.934649
1808.949	6833.217532
1822.154	6808.323004
1835.357	6810.494003
1848.562	6796.333125
1861.765	6785.943607
1874.97	6775.901998
1888.174	6764.838952
1901.377	6761.162855
1914.582	6744.118396
1927.786	6744.424085
1940.989	6716.949887
1954.193	6721.413358
1967.398	6711.798313
1980.601	6703.798628
1993.806	6682.011735
2007.009	6689.039042
2020.214	6672.311135
2033.417	6650.522718
2046.622	6654.471827
2059.826	6638.771763
2073.03	6634.160893
2086.234	6633.162986
2099.437	6620.950768
2112.642	6624.921805
2125.846	6609.169266
2139.049	6588.581828
2152.253	6595.369253
2165.458	6585.783053
2178.661	6574.261389
2191.866	6575.524455
2205.069	6575.535466
2218.273	6568.586063
2231.478	6542.681639
2244.681	6549.641306
2257.885	6542.469668
2271.09	6530.427613
2284.294	6516.117794
2297.497	6515.136581
2310.702	6507.068484
2323.906	6499.56575
2337.11	6498.463953
2350.314	6490.645445
2363.517	6478.336481
2376.722	6453.413968
2389.925	6455.296798
2403.129	6450.225871
2416.334	6449.926647
2429.537	6440.614053
2442.741	6425.632881
2455.946	6440.339155
2469.149	6416.86321
2482.354	6420.918803
2495.558	6415.262398
2508.761	6424.602223
2521.965	6420.837187
2535.17	6394.264076
2548.373	6399.522838
2561.577	6400.203571
2574.782	6390.900053
2587.986	6392.463454
2601.19	6383.69001
2614.393	6371.478352
2627.598	6350.874421
2640.801	6351.594917
2654.005	6353.511617
2667.209	6335.294906
2680.414	6337.686766
2693.617	6319.380083
2706.822	6332.550175
2720.025	6317.69543
2733.23	6310.075632
2746.433	6331.233629
2759.637	6310.403261
2772.842	6291.685879
2786.045	6311.437882
2799.249	6293.028479
2812.454	6304.22558
2825.657	6289.020315
2838.861	6294.512898
2852.065	6279.13925
2865.27	6270.679949
2878.473	6268.482784
2891.678	6277.736509
2904.881	6265.885982
2918.086	6261.138327
2931.289	6261.449575
2944.494	6256.561326
2957.697	6247.516685
2970.901	6239.591932
2984.106	6246.555198
2997.309	6239.823593
3010.514	6243.026467
3023.717	6236.714617
3036.921	6225.58214
3050.126	6219.456712
3063.33	6217.468098
3076.534	6211.117233
3089.737	6208.733015
3102.942	6206.493778
3116.146	6206.885717
3129.349	6199.767249
3142.553	6201.695227
3155.758	6198.468957
3168.962	6192.330133
3182.165	6180.442929
3195.369	6187.716591
3208.574	6177.60855
3221.777	6177.1464
3234.981	6174.554014
3248.185	6162.5169
3261.39	6166.288884
3274.594	6158.771862
3287.798	6153.24403
3301.001	6150.756904
3314.206	6149.375333
3327.41	6147.868142
3340.614	6132.8205
3353.817	6129.563098
3367.021	6137.145781
3380.226	6132.541497
3393.429	6126.775273
3406.634	6127.309611
3419.837	6116.178304
3433.041	6121.516804
3446.246	6125.741698
3459.45	6104.168944
3472.654	6111.940036
3485.857	6108.450144
3499.062	6105.868169
3512.266	6103.013976
3525.469	6096.045741
3538.673	6091.693411
3551.878	6088.881141
3565.082	6087.679373
3578.285	6092.554142
3591.489	6079.62315
3604.694	6077.649394
3617.898	6083.880722
3631.101	6072.183169
3644.306	6065.846415
3657.51	6068.52026
3670.714	6082.042769
3683.917	6062.701237
3697.122	6062.572616
3710.325	6054.390028
3723.53	6042.438341
3736.733	6056.631008
3749.938	6057.736664
3763.141	6062.073836
3776.346	6048.253219
3789.549	6042.009994
3802.753	6037.867478
3815.958	6044.271478
3829.162	6035.84405
3842.365	6033.361949
3855.569	6033.173507
3868.773	6027.273163
3881.977	6035.302848
3895.182	6033.16069
3908.385	6025.027078
3921.589	6030.950725
3934.794	6028.866725
3947.997	6033.796897
3961.201	6017.288585
3974.406	6018.242059
3987.61	6018.325369
4000.813	6013.592573
4014.018	5998.12541
4027.222	6014.791954
4040.426	5999.764625
4053.629	6004.914486
4066.833	5998.501762
4080.038	5994.503444
4093.241	6007.641684
4106.445	5998.52802
4119.649	6000.593349
4132.854	5994.478955
4146.057	5996.64229
4159.262	5999.934381
4172.465	5992.010597
4185.669	6003.42191
4198.874	5998.296809
4212.077	5990.971398
4225.281	5992.624708
4238.486	5997.668022
4251.689	5972.366148
4264.893	5993.232584
4278.098	5979.73824
4291.301	5986.698389
4304.506	5970.714171
4317.71	5983.502921
4330.913	5978.199309
4344.117	5983.265522
4357.322	5974.457659
4370.525	5976.981242
4383.729	5980.001246
4396.934	5966.961296
4410.137	5969.237686
4423.342	5971.406613
4436.545	5970.612649
4449.749	5966.309355
4462.953	5963.186569
4476.158	5968.787048
4489.361	5954.203858
4502.566	5936.207988
4515.77	5959.176191
4528.973	5952.017829
4542.178	5948.263323
4555.382	5948.594111
4568.586	5950.530027
4581.789	5950.681823
4594.994	5945.607368
4608.198	5961.781925
4621.401	5944.396653
4634.606	5947.409172
4647.809	5943.390724
4661.014	5941.460728
4674.217	5945.718826
4687.421	5944.993688
4700.626	5934.212806
4713.83	5940.056717
4727.033	5947.148503
4740.237	5940.948422
4753.441	5939.233293
4766.645	5935.721577
4779.849	5939.004893
4793.054	5933.736303
4806.257	5926.666445
4819.463	5920.79806
4832.665	5935.957815
4845.87	5922.074848
4859.073	5935.318329
4872.278	5931.476187
4885.482	5918.211642
4898.685	5916.150115
4911.89	5903.351428
4925.094	5922.518853
4938.297	5905.877318
4951.502	5905.925023
4964.705	5912.272699
4977.91	5908.589701
4991.113	5907.28568
5004.317	5905.527643
5017.522	5909.131736
5030.725	5920.823971
5043.93	5912.022965
5057.133	5898.476325
5070.337	5906.85633
5083.541	5910.594045
5096.746	5911.082398
5109.949	5914.447772
5123.154	5918.133426
5136.357439	5907.388316
