t	Imed
0	9381.443077
15.001	9394.155026
30.001	9351.511278
45	9295.849133
60.001	9251.396139
75	9219.258369
90	9119.680681
105.001	9069.63664
120	9014.342465
135	8969.71158
150	8878.891563
165.001	8827.259072
180	8777.863461
195	8731.385177
210.001	8641.535499
225	8602.542794
240	8566.507025
255	8522.80036
270	8406.52279
285.001	8353.08928
300.001	8326.514627
315.001	8297.681129
330	8238.508647
345	8195.76163
360.001	8163.325481
375	8123.143753
390	8055.605004
405.001	8006.983759
420	7987.482878
435	7947.122791
450.001	7885.793753
465	7844.720915
480	7813.69627
495.001	7785.654204
510.001	7722.134702
525	7694.108593
540.001	7660.736373
555.001	7634.823692
570	7569.896219
585.001	7546.517701
600.001	7518.717041
615	7493.301579
630.001	7440.894241
645	7405.538246
660	7380.352926
675	7362.847527
690.001	7306.810416
705	7287.322321
720.001	7274.099584
735	7229.814066
750.001	7178.834847
765.001	7160.24081
780	7151.928914
795	7124.712412
810	7079.469792
825.001	7059.294691
840	7033.693259
855	7018.837947
870	6975.041912
885.001	6954.275115
900.001	6931.869363
915	6911.609023
930.001	6879.80271
945.001	6860.472014
960	6842.32954
975	6824.024023
990.001	6787.06153
1005	6774.424414
1020	6747.524609
1035	6742.648989
1050.001	6696.200694
1065.001	6684.472148
1080.001	6665.752716
1095.001	6642.850729
1110	6617.741771
1125.001	6604.746639
1140	6590.221895
1155.001	6572.35802
1170	6536.516321
1185	6527.170672
1200.001	6514.945466
1215.001	6492.077692
1230	6472.721146
1245	6447.934261
1260.001	6443.95214
1275	6426.193002
1290.001	6403.577588
1305.001	6395.932403
1320	6380.748577
1335	6361.754214
1350.001	6339.080735
1365	6316.651924
1380	6300.584532
1395.001	6269.384695
1410	6240.446127
1425	6225.524131
1440	6215.964843
1455.001	6209.71034
1470	6190.071108
1485.001	6195.908782
1500	6185.746938
1515.001	6172.242577
1530	6153.918706
1545.001	6150.343862
1560	6130.399959
1575	6117.927636
1590	6098.847454
1605.001	6095.28466
1620	6073.68713
1635	6067.639605
1650	6038.674192
1665.001	6037.923781
1680	6035.153217
1695	6024.281643
1710	5996.057366
1725	5986.874485
1740.001	5977.747933
1755	5970.24348
1770	5959.290797
1785.001	5948.190569
1800.001	5935.042486
1815.001	5917.352087
1830	5902.814005
1845	5895.827009
1860	5893.137488
1875.001	5867.193786
1890.001	5875.617029
1905	5851.780524
1920	5843.631009
1935.001	5832.313022
1950.001	5826.024584
1965.001	5819.215667
1980	5801.39149
1995.001	5786.835175
2010.001	5780.95327
2025	5776.204579
2040.001	5769.148548
2055	5755.455418
2070	5745.759004
2085.001	5728.421722
2100	5726.363824
2115.001	5723.364038
2130	5711.239392
2145	5706.677772
2160.001	5695.119981
2175.001	5693.262525
2190	5683.723129
2205	5675.611792
2220.001	5674.940496
2235	5848.096274
2250	5878.609884
2265.001	5886.76209
2280.001	5894.522966
2295	5909.942471
2310	5936.736705
2325.001	5944.712188
2340.001	5939.551106
2355.001	5949.448788
2370	5945.501162
2385.001	5936.571816
2400	5930.460905
2415.001	5939.339411
2430	5926.101964
2445.001	5817.93224
2460.001	5667.057506
2475	5686.522468
2490.001	5678.476539
2505.001	5650.298317
2520	5629.159621
2535	5633.358936
2550	5639.778941
2565.001	5612.497027
2580	5616.812041
2595.001	5594.78293
2610	5594.462061
2625.001	5587.625227
2640.001	5598.355773
2655.001	5580.393117
2670	5572.654714
2685.001	5573.139593
2700	5561.866976
2715.001	5562.525929
2730	5546.363582
2745.001	5528.737512
2760	5547.181261
2775.001	5543.960039
2790	5523.349112
2805.001	5536.561343
2820	5532.195268
2835.001	5521.719209
2850	5493.327038
2865.001	5432.82184
2880	5428.235755
2895.001	5513.560954
2910	5498.423116
2925.001	5477.417471
2940	5468.298085
2955.001	5394.203504
2970.001	5374.322942
2985	5364.093448
3000	5357.213874
3015.001	5333.632126
3030	5325.521987
3045.001	5326.932244
3060.001	5347.562389
3075	5448.772855
3090.001	5510.63356
3105.001	5557.667451
3120	5474.653372
3135	5562.958802
3150.001	5601.21368
3165	5592.17646
3180.001	5607.759595
3195	5600.036221
3210	5605.14722
3225.001	5596.450396
3240.001	5604.013512
3255.001	5582.151276
3270	5576.354638
3285	5578.038615
3300	5574.331409
3315	5578.978429
3330.001	5573.932329
3345	5576.943552
3360.001	5574.611906
3375.001	5576.839868
3390	5521.994524
3405.001	5513.373956
3420.001	5512.074664
3435	5493.75256
3450	5485.638852
3465.001	5495.282237
3480.001	5502.539534
3495	5510.705884
3510	5522.57444
3525.001	5530.598933
3540	5526.814424
3555.001	5517.361265
3570	5514.092008
3585.001	5495.027939
3600.001	5509.273342
3615	5493.661003
3630.001	5499.024645
3645	5511.367145
3660	5507.330668
3675.001	5511.41093
3690.001	5437.544036
3705	5436.295852
3720.001	5350.648076
3735.001	5248.882601
3750.001	5400.989542
3765	5432.389242
3780.001	5435.02031
3795.001	5461.028529
3810.001	5233.458868
3825	5257.986188
3840.001	5378.202576
3855	5400.738747
3870	5297.302538
3885.001	5190.435268
3900.001	5173.105367
3915	5161.391609
3930.001	5138.785502
3945.001	5125.305232
3960	5117.999255
3975.001	5113.710761
3990	5118.896316
4005	5102.550021
4020	5105.760009
4035	5095.529232
4050.001	5093.792658
4065	5091.110613
4080.001	5089.231293
4095.001	5099.014965
4110.001	5100.232337
4125	5088.45252
4140.001	5236.117942
4155.001	5268.878714
4170	5312.13086
4185.001	5320.024361
4200.001	5309.630772
4215.001	5323.336752
4230	5318.57562
4245	5326.552238
4260.001	5300.386744
4275.001	5314.477445
4290	5330.760771
4305	5345.705407
4320.001	5353.363027
4335.001	5364.436322
4350	5374.949009
4365.001	5366.543515
4380.001	5368.768017
4395	5369.998733
4410.001	5365.258138
4425.001	5364.612403
4440	5371.830398
4455.001	5369.927593
4470	5364.730524
4485.001	5371.053285
4500	5372.502194
4515	5361.5126
4530.001	5353.055822
4545.001	5351.729346
4560	5346.530149
4575.001	5352.447114
4590	5348.082675
4605.001	5342.560333
4620	5337.260095
4635	5246.373842
4650.001	5223.967404
4665	5279.248486
4680.001	5283.825456
4695	5307.338377
4710	5313.46188
4725	5315.200044
4740.001	5322.228837
4755	5330.302963
4770	5319.692331
4785.001	5321.275924
4800	5322.517616
4815.001	5321.156792
4830	5320.066565
4845.001	5317.657947
4860.001	5313.924454
4875	5315.14984
4890	5317.137352
4905.001	5304.359986
4920	5302.159837
4935.001	5312.87952
4950.001	5302.751204
4965	5309.028428
4980	5309.305236
4995.001	5308.215428
5010.001	5290.435102
5025.001	5301.505069
5040	5302.139722
5055	5298.76002
5070.001	5300.768474
5085	5296.667292
5100.001	5293.058564
5115.001	5282.564046
5130.001	5299.877753
5145	5292.424509
5160.001	5293.397821
5175.001	5289.231629
5190.001	5286.82275
5205.001	5284.546174
5220	5286.984236
5235.001	5284.487716
5250.001	5274.732197
5265	5277.074115
5280.001	5281.245843
5295	5277.352125
5310.001	5277.928522
5325	5272.403694
5340	5268.19899
5355.001	5273.85271
5370.001	5266.347301
5385	5271.510051
5400	5273.868336
5415	5269.647197
5430	5262.53833
5445.001	5264.768228
5460.001	5254.772394
5475.001	5265.832038
5490	5260.097341
5505	5259.147388
5520	5262.747662
5535.001	5247.038601
5550	5245.042508
5565	5249.837846
5580	5248.768006
5595.001	5207.236378
5610	5199.849813
5625	5201.929782
5640.001	5200.828789
5655	5213.156021
5670.001	5222.702208
5685.001	5231.713047
5700	5236.590334
5715.001	5238.021122
5730.001	5231.55237
5745	5233.442443
5760.001	5241.078369
5775	5239.985637
5790	5240.020928
5805.001	5230.51872
5820	5236.56601
5835.001	5236.190172
5850.001	5236.604065
5865	5231.489004
5880.001	5229.775769
5895	5220.538086
5910.001	5226.997273
5925	5232.013106
5940.001	5233.780727
5955	5224.815151
5970.001	5221.939019
5985	5228.718245
6000	5097.277281
6015.001	5022.561123
6030	5074.71756
6045	5077.594692
6060	5066.940837
6075.001	4964.850164
6090.001	4934.496329
6105	4928.473966
6120.001	4914.7552
6135	4912.291561
6150.001	4903.582156
6165.001	4914.969672
6180.001	5032.838421
6195	5069.47905
6210.001	5076.588662
6225	5079.56857
6240.001	5066.685275
6255.001	5080.434018
6270	5092.079147
6285.001	5094.996517
6300	5049.941494
6315	5070.682616
6330.001	5053.479407
6345	4964.587292
6360	4920.318867
6375.001	4910.628437
6390	4926.296878
6405	4901.08692
6420.001	4951.745788
6435.001	4974.447884
6450	4889.35186
6465	4935.45062
6480	4999.599074
6495.001	5032.919463
6510.001	4992.508003
6525	4983.227498
6540.001	4915.401713
6555	4907.19056
6570	5043.925623
6585.001	5056.724663
6600.001	5067.484543
6615	5075.340771
6630.001	5089.021906
6645.001	5052.823457
6660	5096.799447
6675	5104.541641
6690.001	5124.108616
6705	5121.29376
6720.001	5117.663282
6735	5121.247884
6750	5113.932095
6765.001	5123.080043
6780	5127.267683
6795	5119.177647
6810.001	5124.416111
6825.001	5128.257266
6840	5126.346973
6855	5128.313912
6870.001	5117.271344
6885	5115.975041
6900.001	5115.436618
6915	5108.585633
6930.001	5120.663752
6945	5135.682025
6960	5125.578872
6975.001	5138.908716
6990	5111.744536
7005	5110.42344
7020	5116.716732
7035.001	5113.291749
7050	5110.891482
7065	5111.932287
7080	5109.632601
7095.001	5103.988699
7110.001	5105.978366
7125	5105.414271
7140.001	5111.764653
7155.001	5108.470384
7170	5108.369813
7185.001	5106.783856
7200	5097.841911
7215.001	5105.085166
7230	5111.261877
7245.001	5116.146895
7260	5135.505252
7275.001	5133.334379
7290	5119.667905
7305	5130.709324
7320.001	5118.957346
7335	5116.199655
7350.001	5084.746001
7365.001	5078.263558
7380	5059.378737
7395	5046.039745
7410.001	5050.794636
7425.001	5012.542901
7440	5005.31758
7455.001	5014.034948
7470	4984.460849
7485	4979.247438
7500.001	4984.947292
7515	4988.72231
7530	4996.107197
7545	5020.449901
7560.001	4998.044894
7575	4997.421719
7590	4977.319196
7605.001	4969.684201
7620.001	4964.687166
