t	Imed
0	8925.679731
15.001	8944.81276
30.001	8937.344514
45	8910.299485
60	8908.337017
75.001	8896.67995
90.001	8862.543146
105	8833.907032
120.001	8829.122883
135	8830.952589
150.001	8824.335993
165	8795.902471
180.001	8771.827989
195	8764.623693
210.001	8750.948334
225	8678.364032
240.001	8669.719741
255.001	8673.517365
270	8668.499371
285	8649.532185
300.001	8621.3535
315	8619.289655
330.001	8603.472839
345.001	8567.13472
360.001	8549.835384
375.001	8535.892436
390	8513.789137
405.001	8506.658573
420	8489.752749
435	8438.120774
450.001	8410.209388
465	8359.984706
480	8409.744259
495	8404.977379
510	8391.705109
525	8369.258405
540.001	8354.96773
555.001	8330.085389
570	8311.797022
585.001	8297.261373
600	8292.283565
615.001	8276.809369
630	8242.847937
645	8222.363428
660.001	8200.902471
675	8198.577684
690	8197.158803
705.001	8189.374009
720	8169.987797
735	8165.39974
750.001	8155.93658
765.001	8138.009763
780	8109.235527
795.001	8096.277136
810.001	8069.122773
825.001	8058.568295
840	8033.01133
855.001	8029.630102
870	8031.88116
885.001	7997.411666
900	7986.723859
915.001	7983.962994
930	7969.125554
945	7950.555893
960.001	7924.300114
975.001	7923.775176
990	7895.620617
1005	7888.123942
1020.001	7871.540655
1035	7851.693034
1050	7850.393286
1065	7831.090898
1080	7834.717921
1095	7824.129752
1110.001	7810.493361
1125	7770.084296
1140.001	7771.650352
1155.001	7771.113114
1170	7760.854921
1185.001	7740.250201
1200.001	7733.16069
1215	7731.381575
1230	7714.942763
1245.001	7702.696736
1260	7684.368418
1275.001	7666.392647
1290	7658.361522
1305	7640.944699
1320	7631.329646
1335	7618.314947
1350	7604.037518
1365.001	7573.395849
1380	7565.811412
1395.001	7571.455307
1410.001	7557.034805
1425	7530.512034
1440	7515.578186
1455	7521.94326
1470.001	7508.964221
1485	7492.322048
1500.001	7472.015221
1515	7460.805966
1530.001	7446.721292
1545	7424.472004
1560	7427.804793
1575	7413.416489
1590.001	7416.788163
1605	7400.664806
1620.001	7398.633504
1635	7379.579811
1650.001	7363.08796
1665	7357.358423
1680.001	7347.28851
1695.001	7340.163602
1710	7335.172648
1725.001	7302.477296
1740	7295.330051
1755.001	7295.012078
1770	7283.358685
1785.001	7265.687737
1800	7255.159628
1815.001	7246.986678
1830.001	7250.726731
1845.001	7235.897402
1860	7231.201394
1875.001	7209.776093
1890.001	7217.553154
1905	7204.327932
1920.001	7189.997143
1935	7177.930722
1950.001	7181.657043
1965.001	7152.728858
1980	7145.029932
1995.001	7136.909761
2010	7126.390642
2025.001	7113.400678
2040.001	7114.068119
2055	7110.671465
2070	7096.746743
2085.001	7083.107035
2100	7063.669481
2115	7053.987506
2130.001	7056.255208
2145.001	7015.978214
2160	7017.455589
2175	7013.742049
2190.001	7012.599831
2205.001	7014.71451
2220	7002.07031
2235.001	6991.607567
2250	6987.146043
2265.001	6972.69362
2280	6965.850269
2295.001	6968.689639
2310	6968.045606
2325	6950.7139
2340	6945.023329
2355.001	6941.559828
2370.001	6927.425247
2385.001	6912.081788
2400	6909.281997
2415.001	6890.125735
2430	6877.720139
2445.001	6870.132734
2460	6862.966532
2475.001	6863.007675
2490	6848.297245
2505.001	6843.16802
2520	6835.693077
2535.001	6835.262331
2550	6821.768331
2565.001	6790.004036
2580	6782.76637
2595	6783.341306
2610.001	6777.300479
2625.001	6783.062909
2640	6774.243597
2655.001	6772.799933
2670	6774.090912
2685	6751.365136
2700.001	6759.381453
2715	6742.061413
2730	6739.018086
2745.001	6717.783543
2760	6709.1702
2775	6712.640753
2790.001	6700.235606
2805.001	6693.420959
2820	6681.270684
2835	6679.347151
2850	6680.917033
2865.001	6677.620993
2880	6657.813695
2895	6654.103829
2910.001	6658.7253
2925	6649.096632
2940.001	6643.904638
2955	6620.045771
2970.001	6619.506005
2985	6614.293579
3000.001	6600.889756
3015	6604.172247
3030.001	6592.286214
3045	6582.526827
3060.001	6572.426429
3075	6574.307009
3090.001	6580.416213
3105	6570.210263
3120	6548.774468
3135.001	6561.871773
3150	6549.329088
3165	6540.949011
3180	6532.078282
3195.001	6519.473571
3210	6516.296334
3225	6498.439068
3240.001	6506.160648
3255	6506.612782
3270	6489.678262
3285.001	6485.385429
3300	6491.754923
3315	6477.351464
3330.001	6474.22558
3345.001	6467.910461
3360	6468.271176
3375.001	6465.287362
3390	6442.214378
3405	6445.893524
3420	6424.292896
3435	6429.271306
3450.001	6422.014682
3465.001	6402.338789
3480.001	6417.842935
3495.001	6407.318064
3510	6415.871856
3525	6394.741245
3540.001	6380.287093
3555.001	6386.824331
3570	6379.082097
3585.001	6371.583767
3600.001	6382.680763
3615	6368.024355
3630	6364.039194
3645	6350.875256
3660.001	6351.749101
3675.001	6338.971383
3690	6339.267916
3705.001	6326.053861
3720	6331.592916
3735.001	6320.19567
3750	6316.898182
3765.001	6315.849845
3780	6297.519585
3795	6301.711052
3810	6295.944787
3825.001	6287.39043
3840.001	6288.302408
3855	6275.690132
3870	6281.632801
3885.001	6260.662746
3900	6253.237675
3915.001	6243.370064
3930	6245.388408
3945.001	6246.742238
3960	6235.739197
3975.001	6228.319773
3990	6231.712011
4005.001	6221.503328
4020.001	6231.647704
4035	6221.580558
4050	6213.710215
4065.001	6215.584886
4080	6193.204296
4095.001	6216.042716
4110	6202.646866
4125.001	6195.273592
4140.001	6178.634317
4155.001	6183.197432
4170.001	6192.13222
4185	6168.969977
4200	6176.171657
4215.001	6160.518321
4230.001	6163.295044
4245	6143.295205
4260	6145.745965
4275.001	6149.867197
4290.001	6140.425478
4305	6144.777438
4320.001	6130.869187
4335	6127.729616
4350.001	6123.193084
4365.001	6120.074407
4380.001	6118.873082
4395	6116.626429
4410.001	6117.71254
4425	6096.908623
4440.001	6095.790376
4455.001	6082.92523
4470	6086.696694
4485.001	6079.298497
4500	6079.202203
4515	6077.13415
4530	6078.511436
4545.001	6062.322619
4560.001	6056.539884
4575	6031.188483
4590.001	6031.244632
4605	6015.684765
4620	6003.379649
4635.001	6029.849946
4650.001	6050.739477
4665	6042.127998
4680.001	6029.864046
4695	6023.467797
4710	6012.533996
4725.001	6016.77147
4740	6007.387182
4755	6011.148381
4770.001	6004.231749
4785	5995.067165
4800.001	5987.649839
4815.001	5968.189338
4830	5999.973434
4845.001	5994.200177
4860.001	5978.122707
4875.001	5974.630591
4890	5950.786149
4905	5960.662981
4920.001	5965.442186
4935	5951.982905
4950.001	5949.429979
4965	5932.606702
4980.001	5931.310534
4995	5946.193898
5010	5940.386389
5025.001	5916.610294
5040	5925.161595
5055.001	5927.884896
5070.001	5928.233328
5085	5915.226257
5100	5924.845658
5115	5900.459323
5130.001	5917.988949
5145	5903.18395
5160	5896.657725
5175.001	5876.023446
5190	5892.44749
5205.001	5883.810615
5220.001	5882.782786
5235.001	5879.332228
5250	5882.188031
5265.001	5875.947356
5280	5883.034257
5295	5868.306154
5310.001	5868.142101
5325.001	5860.145699
5340	5863.363595
5355.001	5863.336399
5370	5863.687649
5385	5850.370153
5400.001	5846.518987
5415	5855.332158
5430	5844.252246
5445.001	5839.284115
5460.001	5824.267426
5475	5835.748588
5490.001	5832.674775
5505	5835.824161
5520.001	5810.230486
5535	5831.045387
5550.001	5814.149411
5565	5811.942216
5580.001	5821.364332
5595.001	5802.666456
5610.001	5801.661624
5625.001	5804.53802
5640.001	5808.557477
5655.001	5789.49947
5670	5765.37619
5685	5778.978266
5700	5782.690659
5715.001	5766.928421
5730	5777.1578
5745.001	5777.336921
5760	5781.710651
5775.001	5762.779658
5790.001	5768.694815
5805	5764.426933
5820	5771.993133
5835.001	5757.36073
5850	5757.122056
5865.001	5758.888706
5880.001	5751.684247
5895	5753.075851
5910	5743.524952
5925	5742.473325
5940.001	5725.483495
5955	5741.206419
5970	5722.746703
5985.001	5721.106683
6000	5727.281965
6015.001	5714.762615
6030.001	5710.151892
6045	5703.061971
6060.001	5708.799534
6075.001	5710.031867
6090	5706.27873
6105.001	5696.919378
6120	5709.701819
6135	5695.08904
6150.001	5692.046197
6165	5685.582162
6180.001	5689.864217
6195.001	5688.192175
6210	5685.228236
6225.001	5675.981781
6240	5668.655482
6255	5672.871074
6270.001	5669.620172
6285	5668.7525
6300.001	5669.051824
6315	5670.700607
