t	Imed
0.001	6519.640896
13.205	6517.037139
26.409	6517.085688
39.613	6508.94273
52.816	6496.980239
66.021	6464.915121
79.225	6448.924556
92.429	6432.009163
105.632	6404.825893
118.837	6387.097926
132.04	6367.398073
145.245	6338.139956
158.448	6296.394532
171.653	6291.510146
184.856	6269.114084
198.06	6242.39761
211.265	6228.261582
224.468	6212.311484
237.673	6192.392449
250.876	6160.560926
264.08	6155.063482
277.285	6140.073236
290.489	6098.694961
303.693	6080.393633
316.896	6066.225391
330.101	6045.886642
343.305	6027.256384
356.509	6016.117006
369.712	6002.189362
382.917	5978.398128
396.121	5962.658693
409.324	5945.519387
422.529	5915.739637
435.733	5901.360452
448.937	5894.230699
462.14	5871.798345
475.344	5858.118654
488.549	5841.773157
501.752	5826.753132
514.956	5810.640048
528.16	5802.380301
541.365	5785.661603
554.568	5756.104405
567.772	5737.694138
580.976	5724.622975
594.181	5713.008619
607.385	5696.138365
620.588	5687.836013
633.792	5672.655154
646.997	5654.813353
660.201	5635.67203
673.404	5627.345792
686.608	5599.121551
699.812	5586.217341
713.017	5570.59025
726.22	5562.847469
739.425	5547.395877
752.628	5535.869651
765.833	5523.158021
779.036	5511.75705
792.241	5507.035814
805.444	5482.011126
818.649	5470.830017
831.852	5452.4828
845.057	5446.791733
858.26	5431.157867
871.465	5421.152982
884.669	5412.330507
897.873	5399.032602
911.077	5390.510589
924.28	5380.409125
937.485	5368.152903
950.688	5345.0646
963.892	5329.359265
977.097	5325.89415
990.3	5313.240313
1003.504	5307.046379
1016.709	5291.483309
1029.913	5276.686876
1043.116	5268.543847
1056.321	5259.189691
1069.524	5248.96047
1082.729	5233.371445
1095.932	5222.847813
1109.136	5215.516859
1122.341	5203.258826
1135.544	5189.945217
1148.749	5189.433908
1161.953	5171.2448
1175.157	5161.629905
1188.361	5159.716305
1201.565	5146.265779
1214.768	5125.045368
1227.973	5116.447801
1241.176	5114.533509
1254.38	5100.347462
1267.585	5088.938848
1280.789	5085.47642
1293.992	5075.453517
1307.197	5067.305415
1320.401	5058.651666
1333.605	5044.125988
1346.808	5038.027179
1360.012	5023.661726
1373.217	5013.938014
1386.421	5013.278827
1399.624	4992.754909
1412.828	4989.737026
1426.033	4981.38575
1439.237	4968.576157
1452.44	4969.934706
1465.645	4957.754715
1478.849	4944.344165
1492.053	4935.120463
1505.256	4923.164004
1518.46	4916.64166
1531.665	4912.837434
1544.868	4907.572826
1558.073	4894.908694
1571.277	4892.698802
1584.481	4883.924345
1597.684	4882.929961
1610.889	4861.462507
1624.092	4852.085565
1637.297	4843.740064
1650.501	4835.86174
1663.704	4829.52945
1676.909	4829.414475
1690.112	4825.24632
1703.316	4814.467868
1716.521	4803.099919
1729.724	4795.044886
1742.929	4782.898159
1756.132	4777.54317
1769.337	4766.095457
1782.541	4761.077343
1795.744	4756.386164
1808.948	4747.400073
1822.152	4750.704566
1835.356	4742.868367
1848.56	4736.108607
1861.764	4727.400324
1874.969	4715.520382
1888.173	4713.015732
1901.376	4700.550293
1914.581	4690.823841
1927.784	4691.230087
1940.988	4678.870356
1954.192	4673.081931
1967.396	4673.195841
1980.601	4676.509356
1993.804	4661.118218
2007.008	4641.026467
2020.213	4642.616469
2033.416	4636.88661
2046.621	4634.14591
2059.824	4622.098721
2073.028	4612.48966
2086.233	4617.216109
2099.436	4609.166006
2112.641	4599.199872
2125.845	4596.195589
2139.048	4581.539266
2152.252	4581.715119
2165.457	4575.793466
2178.661	4568.204838
2191.864	4562.505703
2205.069	4553.432119
2218.273	4557.949028
2231.476	4551.916631
2244.681	4545.221646
2257.885	4534.326184
2271.088	4527.755817
2284.293	4527.635564
2297.497	4521.811653
2310.7	4513.491465
2323.905	4510.670228
2337.108	4506.313099
2350.312	4498.759436
2363.517	4491.015887
2376.721	4491.37112
2389.924	4481.645512
2403.129	4476.887798
2416.333	4467.034871
2429.536	4459.458659
2442.741	4462.369942
2455.944	4459.919175
2469.15	4446.368975
2482.352	4450.331049
2495.557	4444.884386
2508.76	4439.279801
2521.965	4427.084869
2535.168	4418.890514
2548.372	4422.565581
2561.577	4416.728963
2574.78	4417.337804
2587.985	4405.996198
2601.188	4403.52614
2614.392	4398.974054
2627.597	4393.278399
2640.801	4393.243996
2654.004	4377.984656
2667.209	4376.822272
2680.412	4370.399871
2693.617	4368.830536
2706.821	4359.158505
2720.025	4358.388855
2733.228	4357.551242
2746.432	4349.424341
2759.637	4342.282414
2772.84	4345.108709
2786.044	4339.934259
2799.249	4332.694529
2812.452	4326.582529
2825.656	4328.182445
2838.861	4328.892342
2852.064	4321.673477
2865.268	4320.57702
2878.472	4312.565439
2891.677	4304.131417
2904.88	4301.610342
2918.085	4299.530168
2931.289	4289.719716
2944.492	4285.096518
2957.696	4285.243836
2970.901	4282.098828
2984.105	4267.867931
2997.308	4273.170495
3010.513	4266.288403
3023.717	4267.201529
3036.921	4265.579303
3050.124	4253.493949
3063.328	4242.476788
3076.533	4251.660903
3089.736	4242.556769
3102.941	4235.762705
3116.145	4239.497505
3129.348	4231.321233
3142.553	4233.224831
3155.757	4230.723406
3168.96	4214.465953
3182.165	4220.310777
3195.368	4206.899236
3208.573	4195.375304
3221.776	4196.92502
3234.98	4197.811022
3248.185	4195.292508
3261.388	4193.958474
3274.593	4193.42167
3287.797	4187.238843
3301	4186.441323
3314.204	4186.884191
3327.409	4178.960667
3340.612	4175.47679
3353.817	4163.580931
3367.02	4162.956893
3380.224	4163.215873
3393.428	4162.442715
3406.632	4164.456168
3419.837	4155.649358
3433.041	4151.401878
3446.244	4145.988279
3459.449	4142.585189
3472.652	4138.04618
3485.856	4135.936861
3499.061	4136.050895
3512.264	4136.279955
3525.468	4128.205139
3538.673	4121.857695
3551.877	4116.782958
3565.08	4113.402331
3578.284	4109.319574
3591.489	4107.515292
3604.692	4104.975069
3617.897	4106.685425
3631.1	4100.196132
3644.305	4095.575732
3657.509	4097.350692
3670.713	4092.796277
3683.917	4087.834392
3697.121	4086.7579
3710.325	4081.312566
3723.529	4080.373645
3736.732	4073.231832
3749.937	4073.166743
3763.141	4069.91053
3776.344	4070.248958
3789.549	4065.31541
3802.752	4063.718783
3815.957	4056.245897
3829.161	4062.114332
3842.364	4050.394562
3855.568	4053.817573
3868.773	4048.538608
3881.976	4037.765233
3895.181	4037.68699
3908.385	4037.173813
3921.588	4040.58272
3934.792	4028.508854
3947.997	4032.449966
3961.2	4027.250919
3974.405	4025.871675
3987.609	4029.595701
4000.812	4016.17204
4014.016	4015.156164
4027.22	4018.839385
4040.425	4011.419422
4053.629	4010.812819
4066.832	4010.518949
4080.036	4003.679284
4093.241	3999.821511
4106.444	4004.602928
4119.649	3988.147706
4132.853	3998.83767
4146.056	3987.10427
4159.261	3991.227234
4172.465	3987.048244
4185.668	3987.942755
4198.872	3984.380131
4212.076	3979.442656
4225.28	3977.520544
4238.484	3977.800429
4251.688	3975.283646
4264.893	3974.180921
4278.097	3965.321609
4291.3	3965.339813
4304.504	3966.718415
4317.709	3959.035197
4330.912	3955.676887
4344.117	3957.696833
4357.32	3953.809651
4370.525	3955.721931
4383.728	3946.899289
4396.933	3950.099521
4410.137	3944.659854
4423.34	3937.468481
4436.545	3939.196757
4449.749	3938.907615
4462.952	3936.344857
4476.157	3934.110232
4489.361	3931.093572
4502.565	3927.312205
4515.769	3921.916719
4528.972	3915.835137
4542.177	3919.666002
4555.38	3917.457189
4568.585	3915.3619
4581.789	3907.676334
4594.993	3907.997538
4608.197	3907.572376
4621.401	3903.095549
4634.604	3911.072347
4647.809	3897.448777
4661.013	3898.818419
4674.217	3897.480032
4687.42	3899.151812
4700.625	3900.752613
4713.829	3892.816381
4727.032	3902.817554
4740.236	3895.601721
4753.44	3895.653011
4766.645	3891.830325
4779.848	3888.430917
4793.053	3889.674486
4806.257	3886.204475
4819.46	3878.992138
4832.664	3879.38036
4845.869	3878.505794
4859.072	3879.524666
4872.276	3868.615587
4885.481	3876.627784
4898.684	3865.576317
4911.889	3872.490139
4925.092	3858.195917
4938.296	3860.997757
4951.5	3864.601562
4964.705	3859.773458
4977.909	3856.040056
4991.112	3859.725346
5004.316	3860.48696
5017.52	3857.481427
5030.725	3850.539447
5043.929	3852.911364
5057.133	3847.631602
5070.336	3847.826266
5083.54	3843.681103
5096.745	3842.400469
5109.949	3837.633731
5123.152	3840.578788
5136.357	3829.833108
5149.56	3840.788524
5162.765	3830.735831
5175.969	3837.471453
5189.173	3830.751724
5202.376	3828.42469
5215.581	3819.070135
5228.784	3820.081369
5241.989	3816.417317
5255.192	3814.604406
5268.397	3817.750056
5281.601	3818.134887
5294.805	3812.680119
5308.009	3809.573655
5321.213	3810.610682
5334.416	3807.666338
5347.621	3805.060923
5360.824	3807.973227
5374.028	3805.8601
5387.233	3806.38
5400.436	3803.871571
5413.64	3797.653437
5426.845	3798.051396
5440.049	3798.297907
5453.252	3794.479343
5466.457	3789.290342
5479.66	3788.385959
5492.865	3792.082122
5506.068	3793.467917
5519.272	3791.410965
5532.477	3784.639829
5545.68	3784.973108
5558.884	3781.971444
5572.088	3777.326758
5585.292	3777.69128
5598.497	3777.20751
5611.701	3775.326614
5624.904	3779.221817
5638.108	3769.520042
5651.312	3777.135538
5664.517	3768.127266
5677.72	3760.784989
5690.925	3764.764715
5704.128	3761.290637
5717.333	3759.019742
5730.536	3758.524467
5743.741	3755.845558
5756.944	3760.796355
5770.149	3760.054603
5783.353	3750.968532
5796.557	3743.463639
5809.761	3752.862574
5822.964	3754.578878
5836.169	3746.924377
5849.373	3745.141856
5862.576	3741.567525
5875.78	3743.622484
5888.985	3745.983212
5902.189	3744.929861
5915.392	3743.073609
5928.597	3737.505765
5941.801	3746.946797
5955.004	3740.6728
5968.209	3731.132834
5981.412	3737.153257
5994.616	3734.504779
6007.82	3729.369779
6021.024	3730.010999
6034.229	3730.535036
6047.433	3730.594515
6060.636	3725.997216
6073.84	3725.292726
6087.045	3718.19073
6100.249	3721.962259
6113.452	3717.939607
6126.656	3719.265095
6139.861	3717.878869
6153.065	3717.858346
6166.268	3716.698204
6179.472	3718.324315
6192.677	3715.406044
6205.881	3717.420064
6219.084	3709.698688
6232.289	3710.94604
6245.492	3709.518255
6258.697	3711.506507
6271.9	3706.672438
6285.105	3707.689735
6298.308	3702.818073
6311.513	3702.401572
6324.716	3701.938789
6337.921	3704.083407
6351.124	3704.941253
6364.329	3698.735704
6377.532	3699.928999
6390.736	3693.903679
