t	Imed
0	8942.431384
15	8865.900323
30	8865.756692
45.001	8849.693376
60	8841.086635
75	8808.921321
90.001	8792.74893
105	8763.503422
120.001	8745.103926
135	8714.155582
150.001	8700.128293
165.001	8680.534772
180	8663.409588
195.001	8633.738006
210	8610.273745
225	8599.557638
240	8568.834299
255.001	8546.367933
270	8541.452175
285	8521.123672
300.001	8483.405937
315.001	8465.682205
330	8447.964074
345	8430.761826
360.001	8411.959753
375	8373.912565
390.001	8370.581634
405	8350.318222
420.001	8332.687049
435	8303.095794
450	8284.324375
465.001	8273.419804
480.001	8258.349269
495	8223.615437
510.001	8210.178233
525	8202.354014
540.001	8181.293354
555	8155.138699
570.001	8143.308468
585	8115.833673
600	8121.555731
615	8086.627939
630.001	8068.63172
645	8062.687788
660.001	8039.314298
675.001	8018.751068
690	8017.503609
705	7984.933939
720.001	7980.578715
735.001	7953.083734
750.001	7945.246427
765	7929.000807
780	7925.904776
795.001	7889.150479
810.001	7884.900918
825	7872.02604
840	7848.69484
855.001	7831.980497
870	7817.200987
885.001	7807.962996
900	7790.578146
915.001	7765.265116
930.001	7758.022944
945.001	7743.830806
960	7724.900303
975.001	7696.440914
990.001	7695.957047
1005.001	7686.343241
1020.001	7677.187692
1035	7646.652633
1050.001	7641.974589
1065	7633.09113
1080	7620.132456
1095	7598.28603
1110.001	7587.392052
1125.001	7573.973935
1140	7558.681329
1155.001	7542.232704
1170.001	7541.659604
1185	7515.93064
1200.001	7519.187346
1215.001	7498.835737
1230	7485.571093
1245.001	7469.351828
1260.001	7459.034825
1275	7443.54694
1290	7435.999779
1305	7418.688586
1320.001	7415.477454
1335	7393.89593
1350	7371.875416
1365.001	7365.231573
1380	7368.733477
1395	7350.151437
1410	7337.559826
1425.001	7323.546444
1440	7317.690477
1455.001	7299.980095
1470.001	7292.852658
1485	7281.840097
1500.001	7267.676464
1515	7250.754818
1530.001	7243.228206
1545.001	7229.802095
1560	7224.271478
1575	7212.377293
1590.001	7194.626127
1605	7186.833597
1620.001	7174.63252
1635.001	7159.932348
1650.001	7156.282289
1665.001	7137.101275
1680	7138.269954
1695	7118.823694
1710	7105.534285
1725	7103.527806
1740.001	7096.669574
1755.001	7075.526168
1770	7073.565264
1785	7065.646598
1800.001	7057.27917
1815	7040.253254
1830.001	7025.998052
1845	7013.771103
1860	7004.913109
1875	7001.833273
1890.001	6982.588196
1905	6976.809578
1920	6973.710383
1935	6960.708812
1950.001	6958.724541
1965	6944.687485
1980	6935.115728
1995	6921.799588
2010.001	6913.139604
2025.001	6909.969584
2040.001	6893.905049
2055.002	6865.086038
2070	6868.15365
2085.001	6851.290696
2100.001	6851.907748
2115	6836.334746
2130.001	6820.625885
2145	6818.994805
2160.001	6810.959549
2175	6799.413794
2190	6778.860195
2205.001	6783.353997
2220	6773.224099
2235.001	6768.927801
2250	6759.777858
2265.001	6744.751524
2280	6743.35153
2295.001	6726.570543
2310	6720.961009
2325.001	6723.747686
2340	6711.403214
2355.001	6694.395433
2370	6690.687468
2385.001	6694.4923
2400	6673.359749
2415.001	6654.807364
2430	6649.275944
2445.001	6655.08759
2460	6645.269289
2475.001	6631.799403
2490	6621.559337
2505.001	6619.333809
2520	6602.793595
2535.001	6601.267624
2550	6598.007455
2565	6581.715605
2580	6577.53505
2595.001	6566.936075
2610	6554.566422
2625	6551.776552
2640	6548.167148
2655.001	6532.161946
2670	6539.712064
2685.001	6527.347464
2700.001	6520.988267
2715	6514.090524
2730	6496.069264
2745.001	6499.495074
2760.001	6498.72224
2775	6478.92102
2790.001	6466.116296
2805	6469.390902
2820.001	6461.344842
2835	6454.834984
2850.001	6438.022906
2865	6437.757869
2880	6431.713636
2895.001	6418.140105
2910.001	6425.077055
2925	6419.221399
2940.002	6399.051407
2955	6385.95435
2970	6385.613683
2985	6384.338172
3000.001	6381.092791
3015	6367.300515
3030.001	6368.045054
3045	6360.115736
3060.001	6348.15789
3075	6338.689382
3090	6333.573994
3105.001	6328.389765
3120	6323.446386
3135	6319.594392
3150	6309.284299
3165.001	6305.961154
3180.001	6299.669951
3195	6305.044953
3210	6292.149223
3225.001	6292.224608
3240	6277.58899
3255	6267.774301
3270.001	6256.161364
3285	6260.310085
3300	6254.534542
3315	6251.647386
3330.001	6243.331941
3345	6238.212783
3360.001	6234.081562
3375	6227.573904
3390.001	6218.96248
3405	6210.909245
3420	6211.144773
3435.001	6207.714994
3450	6200.713466
3465	6180.590432
3480.001	6179.314346
3495	6181.613365
3510.001	6172.865035
3525.001	6167.383089
3540.001	6161.229528
3555	6152.745622
3570.001	6146.166843
3585.001	6145.438935
3600	6137.087914
3615	6133.568895
3630.001	6124.933439
3645.001	6121.722236
3660	6119.145928
3675.001	6109.212437
3690.001	6102.469607
3705	6100.725971
3720	6099.663099
3735.001	6092.297306
3750.001	6085.023146
3765.002	6076.4965
3780.001	6071.634379
3795	6065.520964
3810.001	6064.603368
3825.001	6054.192078
3840	6049.212775
3855.001	6059.139994
3900	6050.337097
3915.001	6046.478903
3930	6049.498347
3945.001	6033.612245
3960	6024.055415
3975.001	6020.201331
3990	6013.459186
4005	6008.076611
4020.001	6011.455719
4035.001	6012.916396
4050	5999.402164
4065.001	5989.812034
4080	5991.72009
4095	5990.885634
4110	5978.607495
4125.001	5975.500134
4140.001	5971.526226
4155	5967.734014
4170.001	5965.011571
4185.001	5959.374226
4200	5955.072561
4215	5961.397755
4230.001	5937.225218
4245	5939.488205
4260	5941.546268
4275.001	5939.49012
4290	5929.289311
4305.001	5916.801821
4320	5912.964388
4335.001	5910.652335
4350.001	5911.863976
4365	5907.030334
4380.001	5904.583244
4395	5896.750956
4410	5892.314356
4425	5886.109454
4440.001	5883.432084
4455	5882.24989
4470.001	5874.933501
4485	5867.192801
4500.001	5864.829415
4515	5856.200231
4530	5852.014408
4545.001	5851.103237
4560	5849.176482
4575.001	5839.484283
4590.001	5844.273274
4605	5838.00614
4620	5830.256915
4635	5826.61493
4650.001	5814.45995
4665	5815.072473
4680.001	5807.19259
4695	5801.26874
4710.001	5801.123801
4725	5792.520486
4740	5795.679977
4755	5800.629652
4770.001	5781.853252
4785.001	5775.899531
4800	5778.515798
4815.001	5775.30708
4830	5767.312381
4845	5770.14585
4860	5766.069618
4875	5758.025427
4890.001	5749.911275
4905	5746.614398
4920.001	5747.903298
4935.001	5748.343456
4950	5743.141915
4965	5733.998833
4980.001	5731.217348
4995	5737.020974
5010	5723.856966
5025	5718.78134
5040	5712.613839
5055	5707.13649
5070.001	5707.315181
5085.001	5706.193741
5100	5701.860017
5115	5696.083897
5130.001	5688.87396
5145.001	5693.799537
5160	5689.09632
5175.001	5683.155277
5190	5674.720169
5205.001	5669.322329
5220.001	5670.330865
5235.001	5670.499461
5250.001	5665.148948
5265	5659.287437
5280	5656.501504
5295.001	5652.012292
5310	5649.311336
5325	5646.327013
5340.001	5641.9434
5355	5643.572053
5370	5636.831863
5385.001	5631.453365
5400.001	5621.665814
5415.001	5624.853516
5430	5606.827929
5445.001	5614.635297
5460	5617.841385
5475	5605.482845
5490	5598.342382
5505.001	5598.811287
5520	5598.264207
5535.001	5597.032496
5550.001	5599.808306
5565	5589.327161
5580	5593.436465
5595.001	5585.577109
5610	5574.55144
5625.001	5583.867186
5640.001	5576.781475
5655	5574.747902
5670.001	5562.353994
5685	5567.591011
5700.001	5560.449957
5715	5559.129473
5730	5549.131901
5745.001	5547.107402
5760.001	5549.673628
5775	5539.181715
5790	5542.900002
5805	5538.011399
5820.001	5537.480755
5835	5533.07205
5850.001	5528.402845
5865.001	5524.117315
5880	5529.09316
5895	5524.044916
5910	5510.825757
5925	5509.843047
5940.001	5504.377251
5955.001	5509.588093
5970	5495.011229
5985.001	5500.027674
6000.001	5498.408327
6015	5493.31483
6030.001	5489.028729
6045.001	5489.29715
6060.001	5481.82866
6075	5485.334047
6090.001	5476.614461
6105.001	5473.21336
6120	5474.459478
6135	5471.425572
6150.001	5462.537629
6165.001	5457.052303
6180	5458.200246
6195	5460.324852
6210.001	5459.675146
6225	5451.439474
6240.001	5454.606561
6255	5451.695401
6270	5445.88709
6285	5440.286968
6300.001	5438.913294
6315	5428.788009
6330.001	5438.52281
6345	5441.930165
6360	5424.498837
6375	5423.522327
6390.001	5424.994284
6405	5427.698327
6420.001	5421.150669
6435	5416.427166
6450.001	5421.252472
6465	5406.526631
6480	5410.401571
6495	5403.39787
6510.001	5410.320087
6525.001	5403.804037
6540	5402.23929
6555.001	5396.194745
6570	5394.872786
6585.001	5388.529612
6600.001	5382.44503
6615	5380.770847
6630.001	5376.507987
6645.001	5374.077777
6660	5372.614402
6675	5372.90561
6690	5367.30214
6705	5364.993066
6720.001	5359.814176
6735	5357.730489
6750	5355.481028
6765.001	5355.824588
6780.001	5347.218299
6795	5356.187475
6810	5346.538861
6825.001	5350.091928
6840	5342.611716
6855.001	5345.941136
6870	5341.948332
6885.001	5339.124997
6900	5331.103085
6915	5333.529413
6930.001	5331.70823
6945	5321.708621
6960	5325.466216
6975.001	5322.587825
6990.001	5319.884969
7005	5320.3003
7020.001	5323.125561
7035.001	5320.973647
7050	5313.932893
7065	5306.875891
7080.001	5313.901392
7095	5296.084899
7110	5304.904846
7125	5293.191204
7140.001	5296.937266
7155	5294.028245
7170	5295.475971
7185.001	5285.608063
7200.001	5291.897626
7215	5288.012059
7230.001	5284.365193
7245	5277.835328
7260.001	5279.364924
7275	5281.452341
7290.001	5268.192367
7305.001	5276.555607
7320	5273.476
7335.001	5269.523884
7350	5272.98288
7365	5267.441733
7380.001	5264.921243
7395.001	5255.763876
7410.001	5253.626984
7425	5261.810452
7440.001	5251.500291
7455.001	5254.936599
7470	5249.756241
7485	5242.992953
7500.001	5245.67856
7515	5249.93489
7530.001	5230.261089
7545.001	5233.539758
7560	5229.24136
7575	5230.120239
7590	5231.40123
7605.001	5231.661397
7620.001	5219.492324
7635	5228.658009
7650.001	5217.98379
7665	5222.326913
7680	5221.99475
7695.001	5220.851778
7710.001	5207.364122
7725	5208.689719
7740.001	5209.917272
7755	5205.116185
7770.001	5206.247226
7785	5209.209731
7800.001	5200.651591
7815.001	5206.359761
7830	5192.457469
7845	5192.314201
7860	5193.555419
7875.001	5190.016688
7890	5181.263193
7905.001	5185.413986
7920	5179.907272
7935.001	5177.46297
7950	5178.795034
7965.001	5178.990981
7980	5183.920969
7995.001	5173.221485
8010.001	5169.948725
8025	5169.629993
8040.001	5164.102134
8055	5165.039913
8070	5164.96699
8085.001	5159.446252
8100	5166.114759
8115	5157.776909
8130.001	5151.241103
8145.001	5147.27297
8160.001	5153.302793
8175.001	5148.160276
8190.001	5157.100487
8205	5151.839043
8220	5149.271135
