t	Imed
0	8418.156
15	8421.09
30	8418.867
45.001	8392.596
60	8362.701
75.001	8278.878
90	8245.732
105	8209.859
120	8175.637
135	8090.473
150	8046.551
165.001	8005.135
180.001	7971.806
195.001	7892.435
210.001	7857.452
225.001	7820.247
240	7791.102
255.001	7719.731
270	7674.502
285	7640.907
300	7613.271
315.001	7539.909
330	7518.106
345.001	7477.75
360	7447.15
375.001	7392.305
390	7361.94
405.001	7325.44
420.001	7307.003
435	7238.358
450.001	7223.601
465	7198.255
480	7162.583
495.001	7107.399
510	7080.766
525.001	7056.938
540	7035.113
555	6977.805
570	6955.466
585.001	6918.189
600	6912.528
615.001	6862.489
630.001	6838.092
645	6810.284
660.001	6789.879
675.001	6749.924
690.001	6718.888
705.001	6704.187
720	6686.071
735.001	6642.957
750.001	6612.16
765	6603.246
780.001	6570.729
795	6537.318
810.001	6523.21
825.001	6505.842
840	6486.4
855	6442.732
870.001	6434.344
885	6417.802
900.001	6395.994
915.001	6355.364
930	6338.252
945.001	6329.906
960	6310.054
975	6270.767
990	6257.051
1005.001	6239.983
1020	6222.858
1035.001	6191.301
1050	6177.884
1065	6170.291
1080	6269.034
1095.001	6229.334
1110.001	6218.948
1125	6210.198
1140	6137.472
1155.001	6075.927
1170.001	6053.937
1185	6024.955
1200.001	6013.052
1215.001	5971.827
1230.001	5954.59
1245	5953.939
1260.001	5940.267
1275.001	5899.963
1290	5891.404
1305.001	5880.852
1320.001	5876.442
1335.001	5847.658
1350.001	5827.498
1365	5821.014
1380	5805.061
1395.001	5775.509
1410.001	5776.028
1425.001	5756.321
1440	5755.226
1455	5747.584
1470	5727.932
1485.001	5721.997
1500	5711.057
1515.001	5732.888
1530.001	5723.475
1545	5756.836
1560.001	5814.178
1575.001	5859.027
1590.001	5871.675
1605	5871.539
1620	5756.392
1635	5724.653
1650.001	5727.736
1665	5722.047
1680	5714.132
1695.001	5712.333
1710	5670.003
1725	5649.995
1740.001	5578.963
1755	5626.545
1770.002	5622.405
1785	5589.233
1800	5598.534
1815.001	5579.128
1830	5568.83
1845.001	5551.46
1860	5551.154
1875.001	5538.32
1890	5519.791
1905.001	5497.26
1920	5467.429
1935.001	5401.612
1950	5400.002
1965	5380.835
1980	5366.909
1995.001	5352.193
2010.001	5340.407
2025	5329.86
2040.001	5328.668
2055.001	5308.649
2070	5302.212
2085.001	5316.664
2100	5325.926
2115.001	5388.575
2130	5393.564
2145	5377.693
2160	5369.067
2175.001	5363.305
2190.001	5368.491
2205	5357.875
2220.001	5362.073
2235	5362.031
2250.001	5354.861
2265.001	5341.187
2280	5333.803
2295	5335.568
2310.001	5336.454
2325	5338.613
2340	5318.387
2355.001	5311.922
2370	5303.488
2385	5293.676
2400.001	5288.504
2415	5284.334
2430.002	5269.067
2445	5262.978
2460.001	5253.135
2475.001	5239.29
2490	5219.336
2505.001	5190.718
2520	5166.288
2535	5169.401
2550	5164.207
2565.001	5154.554
2580	5161.694
2595.001	5144.109
2610	5137.557
2625	5129.341
2640	5125.145
2655.001	5126.079
2670	5118.382
2685	5107.381
2700.001	5108.696
2715.001	5104.364
2730.001	5099.979
2745	5110.686
2760	5109.538
2775.001	5135.961
2790.001	5118.729
2805	5107.52
2820	5112.627
2835	5106.025
2850	5094.04
2865.001	5097.905
2880	5085.896
2895.001	5091.314
2910.001	5081.026
2925	5077.475
2940.001	5081.557
2955	5049.038
2970.001	5058.04
2985.001	5049.265
3000.001	5028.451
3015	5019.534
3030.001	5019.247
3045	5003.261
3060.001	4977.406
3075.001	4956.118
3090	4956.37
3105.001	4947.966
3120.001	4943.838
3135.001	4936.062
3150.001	4930.75
3165	4930.797
3180.001	4932.942
3195	4922.671
3210.001	4912.678
3225	4902.555
3240	4897.011
3255.001	4891.064
3270.001	4894.919
3285	4879.937
3300.001	4883.313
3315	4874.598
3330.001	4877.742
3345	4865.605
3360.001	4860.52
3375.001	4858.257
3390	4846.297
3405	4850.784
3420.001	4855.305
3435.001	4840.69
3450.001	4827.282
3465	4826.875
3480	4825.41
3495.001	4818.659
3510	4818.758
3525.001	4818.021
3540.001	4801.168
3555.001	4821.07
3570	4823.309
3585	4824.736
3600.001	4845.992
3615.001	4864.781
3630.001	4830.007
3645.001	4819.078
3660	4809.989
3675	4798.719
3690.001	4796.281
3705	4787.514
3720.001	4781.976
3735	4772.578
3750	4768.469
3765.001	4760.559
3780.001	4762.037
3795.001	4750.684
3810.001	4752.056
3825	4742.661
3840	4744.378
3855.001	4742.404
3870.001	4752.376
3885.001	4755.181
3900	4749.992
3915	4746.45
3930	4751.198
3945.001	4740.837
3960	4742.601
3975.001	4743.096
3990	4746.933
4005.001	4735.352
4020	4736.227
4035.001	4722.46
4050.001	4734.869
4065	4725.067
4080	4725.159
4095.001	4724.941
4110	4707.128
4125.001	4727.34
4140.001	4724.744
4155	4723.991
4170.001	4723.2
4185.001	4713.966
4200	4706.978
4215.001	4705.44
4230.001	4706.134
4245	4704.087
4260.001	4704.049
4275.001	4690.096
4290	4701.934
4305.001	4701.027
4320	4699.388
4335	4705.592
4350.001	4701.187
4365.001	4691.412
4380	4699.212
4395.001	4681.52
4410	4692.031
4425.001	4688.987
4440	4679.389
4455.001	4677.207
4470.001	4667.267
4485	4673.083
4500	4656.935
4515	4641.615
4530	4640.931
4545.001	4647.847
4560.001	4644.251
4575	4649.483
4590.001	4644.206
4605	4652.347
4620	4644.194
4635.001	4645.481
4650.001	4632.334
4665.001	4628.302
4680	4626.354
4695.001	4623.033
4710	4633.19
4725	4629.313
4740	4623.951
4755.001	4609.49
4770.001	4621.725
4785	4620.4
4800.001	4612.689
4815	4616.204
4830.001	4614.562
4845.001	4603.21
4860.001	4601.397
4875	4605.064
4890	4599.222
4905	4594.721
4920.001	4601.683
4935	4599.553
4950.001	4590.201
4965	4592.114
4980	4582.39
4995	4583.526
5010.001	4580.723
5025	4576.433
5040	4589.931
5055.001	4576.932
5070.001	4579.132
5085	4572.694
5100	4576.666
5115	4570.174
5130.001	4565.37
5145	4562.914
5160	4568.102
5175	4553.783
5190.001	4551.579
5205.001	4561.845
5220.001	4557.566
5235	4550.134
5250.001	4551.55
5265.001	4547.087
5280	4545.37
5295.001	4554.722
5310.001	4542.747
5325.001	4546.984
5340	4538.668
5355.001	4541.255
5370	4538.939
5385	4539.803
5400.001	4528.622
5415	4533.875
5430	4528.299
5445.001	4525.728
5460	4522.057
5475	4522.786
5490.001	4518.103
5505	4524.883
5520.001	4510.867
5535	4515.939
5550	4508.058
5565.001	4521.063
5580	4515.404
5595.001	4512.665
5610	4503.785
5625	4508.66
5640	4510.446
5655	4507.884
5670	4511.608
